customer_id,customer_name,region,segment,signup_date
1,Customer 01,North,Consumer,2024-08-21
2,Customer 02,West,Consumer,2023-07-16
3,Customer 03,East,Consumer,2024-10-04
4,Customer 04,South,Consumer,2023-07-25
5,Customer 05,South,SMB,2023-11-01
6,Customer 06,West,SMB,2024-04-08
7,Customer 07,North,Enterprise,2023-03-30
8,Customer 08,East,Consumer,2024-01-25
9,Customer 09,North,Consumer,2023-12-20
10,Customer 10,North,Consumer,2024-07-02
11,Customer 11,East,Consumer,2024-11-28
12,Customer 12,West,Consumer,2024-04-10
13,Customer 13,East,Consumer,2023-10-14
14,Customer 14,West,Consumer,2023-10-12
15,Customer 15,East,SMB,2023-10-20
16,Customer 16,West,Consumer,2024-07-23
17,Customer 17,East,Enterprise,2023-08-13
18,Customer 18,North,SMB,2023-04-27
19,Customer 19,West,Consumer,2023-08-23
20,Customer 20,South,Enterprise,2023-01-16
21,Customer 21,East,Enterprise,2023-03-16
22,Customer 22,South,Consumer,2023-03-05
23,Customer 23,North,Consumer,2024-06-24
24,Customer 24,West,SMB,2024-05-20
25,Customer 25,West,Consumer,2024-05-02
26,Customer 26,East,Consumer,2023-11-20
27,Customer 27,South,Consumer,2024-05-16
28,Customer 28,West,SMB,2023-04-23
29,Customer 29,East,SMB,2024-09-22
30,Customer 30,South,SMB,2023-12-17
31,Customer 31,South,SMB,2024-10-18
32,Customer 32,North,Consumer,2023-04-17
33,Customer 33,North,SMB,2023-12-15
34,Customer 34,East,Consumer,2024-05-02
35,Customer 35,West,Consumer,2023-12-13
36,Customer 36,North,SMB,2023-11-09
37,Customer 37,West,Consumer,2023-04-27
38,Customer 38,West,SMB,2023-09-24
39,Customer 39,South,SMB,2023-06-17
40,Customer 40,East,SMB,2023-07-31
41,Customer 41,North,SMB,2024-04-23
42,Customer 42,West,SMB,2024-03-17
43,Customer 43,East,Consumer,2024-03-01
44,Customer 44,South,Consumer,2023-09-11
45,Customer 45,North,Consumer,2024-11-02
46,Customer 46,West,Consumer,2023-03-03
47,Customer 47,South,Consumer,2023-08-28
48,Customer 48,West,Enterprise,2023-03-24
49,Customer 49,East,Consumer,2023-08-26
50,Customer 50,West,Consumer,2024-11-04
