emp_no,dept_no,from_date,to_date
10001,d008,1990-05-08,9999-01-01
10002,d007,1999-01-02,9999-01-01
10003,d004,1996-11-23,9999-01-01
10004,d001,2005-07-02,9999-01-01
10005,d002,2009-06-10,9999-01-01
10006,d003,2006-11-12,9999-01-01
10007,d005,2012-03-29,9999-01-01
10008,d005,2002-08-23,9999-01-01
10009,d005,2008-01-10,9999-01-01
10010,d002,2008-09-23,9999-01-01
10011,d009,2001-08-24,9999-01-01
10012,d009,1999-02-04,9999-01-01
10013,d002,2006-02-06,2011-03-09
10014,d003,1992-05-16,9999-01-01
10015,d004,1997-01-20,9999-01-01
10016,d007,1994-09-13,9999-01-01
10017,d003,2008-02-08,9999-01-01
10018,d005,2011-10-30,9999-01-01
10019,d001,1997-07-02,9999-01-01
10020,d001,1992-05-20,9999-01-01
10021,d004,2005-12-09,9999-01-01
10022,d008,2010-05-05,9999-01-01
10023,d006,2006-12-30,9999-01-01
10024,d007,1990-01-07,9999-01-01
10025,d009,2005-07-12,9999-01-01
10026,d005,1992-09-21,9999-01-01
10027,d005,2010-11-06,9999-01-01
10028,d004,2010-08-03,2022-06-30
10029,d007,1996-05-27,1998-01-20
10030,d009,2002-04-04,9999-01-01
10031,d003,2011-06-16,9999-01-01
10032,d003,1996-04-01,9999-01-01
10033,d004,2010-06-08,2012-11-24
10034,d009,2005-07-18,9999-01-01
10035,d007,2013-05-01,9999-01-01
10036,d009,1995-11-04,2011-10-22
10037,d001,2002-04-29,9999-01-01
10038,d007,2011-01-01,2012-12-29
10039,d007,2010-10-03,9999-01-01
10040,d004,1997-05-19,9999-01-01
10041,d002,1997-01-09,9999-01-01
10042,d004,2003-08-12,9999-01-01
10043,d004,1993-10-21,9999-01-01
10044,d004,2003-10-16,2019-11-02
10045,d007,2008-09-19,9999-01-01
10046,d007,2010-08-28,9999-01-01
10047,d007,2007-10-19,9999-01-01
10048,d007,2007-11-29,9999-01-01
10049,d005,1997-06-22,2020-05-31
10050,d005,2003-07-01,2008-05-22
10051,d001,2007-04-15,9999-01-01
10052,d001,1995-04-01,2002-07-16
10053,d003,2007-11-16,9999-01-01
10054,d009,1992-02-03,2012-09-29
10055,d003,2014-10-16,9999-01-01
10056,d006,2007-05-29,9999-01-01
10057,d003,2009-11-14,9999-01-01
10058,d002,2003-12-07,9999-01-01
10059,d004,2003-04-15,9999-01-01
10060,d006,2014-03-27,9999-01-01
10061,d002,1991-07-23,1995-02-08
10062,d007,2012-01-05,9999-01-01
10063,d007,2009-12-01,9999-01-01
10064,d001,2008-04-05,2016-05-28
10065,d001,2006-09-28,9999-01-01
10066,d009,2014-01-13,9999-01-01
10067,d002,2000-11-28,9999-01-01
10068,d006,1993-06-26,2012-09-25
10069,d004,1997-05-07,9999-01-01
10070,d005,2012-09-08,9999-01-01
10071,d002,2003-08-05,9999-01-01
10072,d003,1992-02-17,9999-01-01
10073,d009,2013-09-29,9999-01-01
10074,d007,1995-06-24,2015-04-10
10075,d001,2001-11-26,9999-01-01
10076,d007,1996-08-30,9999-01-01
10077,d005,2005-02-22,2011-06-16
10078,d009,2003-02-24,9999-01-01
10079,d004,2011-01-04,9999-01-01
10080,d007,2012-01-07,9999-01-01
10081,d006,1995-04-23,9999-01-01
10082,d008,2007-09-09,2020-11-04
10083,d009,2012-11-11,9999-01-01
10084,d005,1996-12-17,2012-02-21
10085,d007,2005-03-30,9999-01-01
10086,d004,1990-06-05,9999-01-01
10087,d005,2006-12-07,2016-07-03
10088,d005,1999-10-21,9999-01-01
10089,d001,2002-01-07,9999-01-01
10090,d007,2002-11-13,9999-01-01
10091,d007,2008-11-13,9999-01-01
10092,d005,2001-03-05,2007-09-02
10093,d005,2014-10-29,9999-01-01
10094,d008,2008-12-06,2017-04-06
10095,d004,1996-05-20,1998-02-04
10096,d004,1998-11-05,9999-01-01
10097,d005,2011-07-14,9999-01-01
10098,d003,2000-10-02,2016-11-12
10099,d001,1994-03-08,9999-01-01
