order_id,customer_id,product_id,order_date,quantity,status,order_value
1001,44,13,2025-12-20,5,Completed,302.65
1002,10,1,2025-12-05,4,Completed,955.08
1003,17,12,2025-02-13,6,Completed,1991.58
1004,51,5,2025-10-09,4,Completed,419.4
1005,55,21,2025-11-05,4,Completed,
1006,32,6,2025-09-12,1,Completed,431.17
1007,25,6,2025-10-27,1,Completed,431.17
1008,20,6,2025-11-02,3,Completed,1293.51
1009,34,15,2025-06-12,7,Completed,279.79
1010,33,14,2025-01-15,7,Completed,1537.13
1011,17,22,2025-06-16,5,Completed,
1012,2,10,2025-03-15,5,Completed,1605.55
1013,9,7,2025-02-11,3,Pending,1152.27
1014,53,2,2025-02-15,2,Completed,234.26
1015,23,1,2025-09-12,1,Completed,238.77
1016,27,9,2025-07-04,3,Completed,682.2
1017,26,22,2025-07-17,3,Completed,
1018,44,13,2025-09-29,2,Completed,121.06
1019,4,21,2025-07-20,2,Pending,
1020,5,3,2025-08-18,1,Pending,166.86
1021,16,3,2025-02-01,5,Completed,834.3
1022,27,20,2025-11-07,7,Completed,2114.49
1023,37,3,2025-06-13,5,Completed,834.3
1024,27,2,2025-02-26,4,Completed,468.52
1025,25,10,2025-10-24,3,Completed,963.33
1026,52,22,2025-09-26,3,Completed,
1027,9,16,2025-01-20,1,Completed,257.12
1028,32,3,2025-03-12,5,Cancelled,834.3
1029,30,20,2025-01-06,4,Completed,1208.28
1030,27,20,2025-04-09,1,Completed,302.07
1031,45,19,2025-02-06,3,Completed,208.89
1032,15,21,2025-09-17,2,Completed,
1033,53,6,2025-07-10,2,Completed,862.34
1034,19,23,2025-12-24,5,Completed,
1035,30,8,2025-10-01,4,Pending,1461.36
1036,29,19,2025-08-12,5,Completed,348.15
1037,47,14,2025-07-05,5,Completed,1097.95
1038,25,18,2025-01-20,7,Completed,625.59
1039,16,15,2025-01-26,6,Completed,239.82
1040,2,15,2025-08-13,5,Completed,199.85
1041,21,15,2025-01-02,7,Completed,279.79
1042,46,18,2025-01-16,4,Completed,357.48
1043,1,17,2025-03-21,7,Completed,1248.31
1044,50,4,2025-11-19,6,Pending,1788.18
1045,30,19,2025-06-17,5,Completed,348.15
1046,8,13,2025-09-16,7,Pending,423.71
1047,17,8,2025-05-31,4,Completed,1461.36
1048,31,12,2025-03-05,6,Completed,1991.58
1049,18,23,2025-05-16,2,Pending,
1050,6,20,2025-02-03,7,Pending,2114.49
1051,37,20,2025-10-09,5,Completed,1510.35
1052,37,11,2025-03-08,6,Pending,1802.22
1053,7,19,2025-05-18,4,Completed,278.52
1054,16,9,2025-12-24,7,Completed,1591.8
1055,14,16,2025-08-05,1,Cancelled,257.12
1056,37,15,2025-06-17,1,Completed,39.97
1057,41,6,2025-07-18,4,Pending,1724.68
1058,40,7,2025-10-14,6,Completed,2304.54
1059,52,2,2025-04-03,6,Pending,702.78
1060,43,4,2025-08-21,4,Completed,1192.12
1061,18,10,2025-11-15,5,Completed,1605.55
1062,6,11,2025-07-28,4,Completed,1201.48
1063,34,4,2025-06-12,7,Completed,2086.21
1064,51,10,2025-02-22,5,Completed,1605.55
1065,54,14,2025-04-01,3,Completed,658.77
1066,13,6,2025-12-12,7,Completed,3018.19
1067,14,8,2025-07-17,1,Completed,365.34
1068,3,9,2025-04-20,7,Completed,1591.8
1069,8,12,2025-06-02,2,Completed,663.86
1070,31,9,2025-07-30,3,Completed,682.2
1071,31,17,2025-07-16,6,Completed,1069.98
1072,21,8,2025-09-13,6,Completed,2192.04
1073,18,10,2025-04-04,7,Pending,2247.77
1074,46,9,2025-08-25,6,Completed,1364.4
1075,26,5,2025-06-11,5,Completed,524.25
1076,45,16,2025-12-10,3,Completed,771.36
1077,53,6,2025-02-27,1,Completed,431.17
1078,18,7,2025-02-24,1,Completed,384.09
1079,12,19,2025-06-18,3,Completed,208.89
1080,53,22,2025-07-05,1,Cancelled,
1081,35,16,2025-09-10,4,Completed,1028.48
1082,17,22,2025-05-28,6,Completed,
1083,35,20,2025-11-30,7,Cancelled,2114.49
1084,29,12,2025-06-23,4,Completed,1327.72
1085,50,18,2025-02-17,7,Completed,625.59
1086,15,8,2025-02-13,7,Pending,2557.38
1087,55,11,2025-12-22,7,Pending,2102.59
1088,52,13,2025-02-18,4,Completed,242.12
1089,10,23,2025-12-12,3,Completed,
1090,10,20,2025-04-12,7,Completed,2114.49
1091,30,12,2025-02-04,2,Completed,663.86
1092,3,16,2025-04-22,3,Completed,771.36
1093,17,5,2025-08-13,1,Completed,104.85
1094,24,19,2025-06-06,6,Completed,417.78
1095,54,13,2025-10-14,5,Pending,302.65
1096,55,13,2025-08-12,1,Completed,60.53
1097,9,18,2025-05-27,2,Completed,178.74
1098,50,15,2025-08-20,4,Completed,159.88
1099,6,2,2025-12-21,4,Pending,468.52
1100,42,7,2025-05-31,6,Completed,2304.54
1101,47,5,2025-02-26,2,Completed,209.7
1102,49,17,2025-05-30,7,Completed,1248.31
