emp_no,salary,from_date,to_date
10001,68661,1990-05-08,1991-05-07
10001,71945,1991-05-08,1992-05-07
10001,73484,1992-05-08,1993-05-07
10001,75042,1993-05-08,1994-05-07
10001,76755,1994-05-08,1995-05-07
10001,79454,1995-05-08,1996-05-07
10001,82437,1996-05-08,1997-05-07
10001,84121,1997-05-08,1998-05-07
10001,85749,1998-05-08,1999-05-07
10001,90158,1999-05-08,2000-05-07
10001,94227,2000-05-08,2001-05-07
10001,98697,2001-05-08,9999-01-01
10002,78725,1999-01-02,2000-01-01
10002,82115,2000-01-02,2001-01-01
10002,85879,2001-01-02,2002-01-01
10002,89869,2002-01-02,2003-01-01
10002,91569,2003-01-02,2004-01-01
10002,96330,2004-01-02,2005-01-01
10002,101159,2005-01-02,2006-01-01
10002,102806,2006-01-02,2007-01-01
10002,107043,2007-01-02,2008-01-01
10002,109800,2008-01-02,2009-01-01
10002,114938,2009-01-02,2010-01-01
10002,119473,2010-01-02,9999-01-01
10003,66710,1996-11-23,1997-11-22
10003,70007,1997-11-23,1998-11-22
10003,72347,1998-11-23,1999-11-22
10003,73775,1999-11-23,2000-11-22
10003,76979,2000-11-23,2001-11-22
10003,78635,2001-11-23,2002-11-22
10003,80959,2002-11-23,2003-11-22
10003,85597,2003-11-23,2004-11-22
10003,89618,2004-11-23,2005-11-22
10003,94336,2005-11-23,2006-11-22
10003,95866,2006-11-23,2007-11-22
10003,98788,2007-11-23,9999-01-01
10004,65016,2005-07-02,2006-07-01
10004,66252,2006-07-02,2007-07-01
10004,68261,2007-07-02,2008-07-01
10004,70910,2008-07-02,2009-07-01
10004,73790,2009-07-02,2010-07-01
10004,77363,2010-07-02,2011-07-01
10004,80664,2011-07-02,2012-07-01
10004,82681,2012-07-02,2013-07-01
10004,86398,2013-07-02,2014-07-01
10004,90174,2014-07-02,2015-07-01
10004,92268,2015-07-02,2016-07-01
10004,97617,2016-07-02,9999-01-01
10005,75564,2009-06-10,2010-06-09
10005,78522,2010-06-10,2011-06-09
10005,82659,2011-06-10,2012-06-09
10005,85920,2012-06-10,2013-06-09
10005,88033,2013-06-10,2014-06-09
10005,89370,2014-06-10,2015-06-09
10005,93442,2015-06-10,2016-06-09
10005,98699,2016-06-10,2017-06-09
10005,102724,2017-06-10,2018-06-09
10005,104402,2018-06-10,2019-06-09
10005,107888,2019-06-10,2020-06-09
10005,111474,2020-06-10,9999-01-01
10006,51840,2006-11-12,2007-11-11
10006,53162,2007-11-12,2008-11-11
10006,55858,2008-11-12,2009-11-11
10006,58929,2009-11-12,2010-11-11
10006,62266,2010-11-12,2011-11-11
10006,64064,2011-11-12,2012-11-11
10006,66604,2012-11-12,2013-11-11
10006,67809,2013-11-12,2014-11-11
10006,70257,2014-11-12,2015-11-11
10006,74361,2015-11-12,2016-11-11
10006,78674,2016-11-12,2017-11-11
10006,81280,2017-11-12,9999-01-01
10007,72429,2012-03-29,2013-03-28
10007,73709,2013-03-29,2014-03-28
10007,75340,2014-03-29,2015-03-28
10007,79755,2015-03-29,2016-03-28
10007,81770,2016-03-29,2017-03-28
10007,83577,2017-03-29,2018-03-28
10007,88174,2018-03-29,2019-03-28
10007,93281,2019-03-29,2020-03-28
10007,95017,2020-03-29,2021-03-28
10007,97736,2021-03-29,2022-03-28
10007,100546,2022-03-29,2023-03-28
10007,102395,2023-03-29,9999-01-01
10008,64289,2002-08-23,2003-08-22
10008,66670,2003-08-23,2004-08-22
10008,68146,2004-08-23,2005-08-22
10008,70586,2005-08-23,2006-08-22
10008,74597,2006-08-23,2007-08-22
10008,75973,2007-08-23,2008-08-22
10008,80395,2008-08-23,2009-08-22
10008,83157,2009-08-23,2010-08-22
10008,88075,2010-08-23,2011-08-22
10008,92185,2011-08-23,2012-08-22
10008,95781,2012-08-23,2013-08-22
10008,98374,2013-08-23,9999-01-01
10009,74905,2008-01-10,2009-01-09
10009,78315,2009-01-10,2010-01-09
10009,79506,2010-01-10,2011-01-09
10009,81482,2011-01-10,2012-01-09
10009,85135,2012-01-10,2013-01-09
10009,89054,2013-01-10,2014-01-09
10009,92256,2014-01-10,2015-01-09
10009,95004,2015-01-10,2016-01-09
10009,98894,2016-01-10,2017-01-09
10009,101368,2017-01-10,2018-01-09
10009,106758,2018-01-10,2019-01-09
10009,109017,2019-01-10,9999-01-01
10010,58878,2008-09-23,2009-09-22
