transaction_id,customer_id,transaction_date,transaction_value,channel
1,50,2025-04-01,82.39,Store
2,31,2025-04-23,55.13,Online
3,9,2025-05-20,30.62,Online
4,40,2025-02-16,149.34,Online
5,33,2025-09-16,193.61,Store
6,28,2025-07-20,135.03,Store
7,40,2025-10-30,95.94,Store
8,50,2025-09-15,375.11,Partner
9,19,2025-02-24,60.32,Online
10,24,2025-01-26,122.78,Store
11,11,2025-06-04,212.25,Store
12,36,2025-06-25,39.77,Online
13,23,2025-03-29,157.22,Partner
14,19,2025-10-13,302.48,Online
15,39,2025-08-01,101.9,
16,23,2025-10-01,115.11,Store
17,26,2025-02-09,60.61,Partner
18,25,2025-10-25,142.81,Online
19,15,2025-03-17,54.01,Online
20,7,2025-06-13,97.51,Store
21,46,2025-06-10,27.03,Store
22,6,2025-10-27,5.0,Online
23,18,2025-04-12,70.77,
24,37,2025-03-29,69.87,Online
25,8,2025-05-04,75.64,Store
26,37,2025-05-12,168.59,Store
27,41,2025-03-08,197.23,Online
28,37,2025-03-06,126.43,Online
29,17,2025-03-26,160.68,Partner
30,2,2025-06-20,55.32,Store
31,49,2025-05-06,44.61,Store
32,18,2025-05-24,144.81,Online
33,45,2025-09-20,39.29,Partner
34,11,2025-03-29,35.4,Online
35,9,2025-11-29,501.86,Online
36,43,2025-10-02,106.76,Online
37,52,2025-03-05,69.91,Store
38,48,2025-04-25,63.71,Partner
39,42,2025-03-08,27.8,Store
40,14,2025-04-10,124.57,Store
41,51,2025-05-14,81.15,Online
42,37,2025-02-17,193.54,Online
43,10,2025-01-06,147.93,Online
44,8,2025-06-10,79.04,Online
45,48,2025-09-13,14.23,Online
46,16,2025-04-21,106.97,Store
47,43,2025-11-11,100.1,Store
48,8,2025-05-15,10.93,Store
49,16,2025-11-25,136.41,Online
50,16,2025-03-28,38.09,Online
51,16,2025-07-16,200.25,Online
52,38,2025-10-06,95.67,Online
53,51,2025-01-22,62.26,Online
54,51,2025-12-06,118.04,Online
55,41,2025-05-14,112.9,Online
56,12,2025-07-01,109.94,Store
57,53,2025-08-18,182.99,Online
58,30,2025-08-23,123.19,Online
59,31,2025-01-09,57.83,Online
60,39,2025-11-13,83.05,Online
61,43,2025-08-16,248.01,Online
62,53,2025-12-31,53.61,Online
63,33,2025-06-22,134.89,Store
64,34,2025-08-12,187.49,Online
65,42,2025-06-10,144.01,Partner
66,15,2025-11-21,107.45,Online
67,17,2025-10-31,119.69,Online
68,35,2025-11-28,150.29,Online
69,4,2025-07-04,53.08,Online
70,18,2025-10-16,100.58,Online
71,40,2025-05-11,373.75,Store
72,54,2025-06-18,137.78,Online
73,29,2025-10-05,110.21,Store
74,22,2025-01-30,76.8,Online
75,25,2025-09-17,53.58,Online
76,38,2025-01-06,122.53,Online
77,30,2025-07-31,128.56,Online
78,2,2025-06-24,95.69,Online
79,30,2025-06-21,469.38,Partner
80,23,2025-06-30,57.54,Store
81,39,2025-06-29,46.87,Partner
82,49,2025-05-29,77.65,Online
83,53,2025-06-14,97.97,Store
84,34,2025-07-27,51.28,Store
85,20,2025-10-06,120.46,Store
86,25,2025-07-21,129.74,Partner
87,10,2025-08-23,162.45,Store
88,52,2025-11-02,68.25,Store
89,47,2025-12-28,234.76,Store
90,47,2025-02-09,155.17,Online
91,19,2025-09-18,56.58,Store
92,18,2025-03-24,51.09,Online
93,48,2025-03-13,81.76,Partner
94,30,2025-10-17,129.96,Store
95,39,2025-01-26,143.22,Online
96,27,2025-11-06,154.97,Online
97,25,2025-10-09,358.77,Online
98,35,2025-12-30,19.55,Online
99,45,2025-09-01,93.78,Online
100,19,2025-11-15,340.04,Store
101,45,2025-02-13,167.47,Store
102,14,2025-11-21,44.4,Store
103,23,2025-02-28,116.22,Online
104,51,2025-04-25,89.7,Online
105,53,2025-02-16,87.33,Online
106,51,2025-05-27,67.23,Store
107,18,2025-10-01,109.64,Online
108,47,2025-04-08,207.19,Online
109,52,2025-10-28,72.06,Online
110,54,2025-08-10,155.75,Store
111,2,2025-08-18,174.25,Online
112,41,2025-12-09,233.53,Store
113,55,2025-06-07,50.35,Store
114,43,2025-05-06,103.52,Store
115,13,2025-12-30,61.2,Online
116,42,2025-07-23,109.79,
117,6,2025-08-13,109.27,Online
118,27,2025-04-19,40.22,Online
119,35,2025-03-20,114.43,Store
120,26,2025-03-03,370.09,Online
121,39,2025-03-23,143.6,Online
122,14,2025-03-13,33.15,Online
123,34,2025-09-30,47.73,Store
124,36,2025-01-22,99.76,Online
125,35,2025-08-18,48.69,Store
126,16,2025-12-13,225.53,Online
127,17,2025-10-07,29.51,Partner
128,15,2025-05-28,144.28,Store
129,26,2025-01-22,23.76,Online
130,33,2025-11-01,98.61,Online
131,20,2025-01-02,42.81,Online
132,23,2025-09-06,162.22,Online
133,16,2025-09-02,201.59,Online
134,13,2025-03-12,129.69,Store
135,37,2025-09-28,207.64,Store
136,45,2025-03-06,7.61,Online
137,16,2025-03-24,113.41,Store
138,48,2025-10-24,142.9,Online
139,32,2025-12-24,155.51,Partner
140,10,2025-04-07,137.24,Online
141,21,2025-12-03,157.78,Store
142,1,2025-11-30,112.5,Store
